127.0.0.1 - - [26/Nov/2021:12:01:25 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:22 +0530] "-" 400 2235
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:22 +0530] "-" 400 2163
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:22 +0530] "-" 400 2165
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:22 +0530] "-" 400 2205
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:29 +0530] "-" 400 2137
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:29 +0530] "-" 400 2213
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:29 +0530] "-" 400 2233
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:29 +0530] "-" 400 2223
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:30 +0530] "-" 400 2183
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:30 +0530] "-" 400 2133
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:30 +0530] "-" 400 2229
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:30 +0530] "-" 400 2205
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:31 +0530] "-" 400 2205
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:31 +0530] "-" 400 2223
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:31 +0530] "-" 400 2151
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:31 +0530] "-" 400 2201
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:42 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:02:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:06:02 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:06:05 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Nov/2021:12:06:07 +0530] "GET / HTTP/1.1" 404 752
